"","generic","english","brandname","class_indication","searchterm"
"164","kloramfenikoli","chloramphenicol","Oftan Akvakol|Oftan Akvakol",NA,"kloramfenikoli|chloramphenicol|oftan akvakol|oftan akvakol"
"165","kolekalsiferoli (vitamiini D3)","cholecalciferol (vitamin D3)","Divisun|Fultium|Divisun|Divifarm|Benferol|Divifarm|Benferol",NA,"kolekalsiferoli (vitamiini d3)|cholecalciferol (vitamin d3)|divisun|fultium|divisun|divifarm|benferol|divifarm|benferol"
"166","koriogonadotropiini alfa","choriogonadotropin alfa","Ovitrelle|Ovitrelle|Ovitrelle",NA,"koriogonadotropiini alfa|choriogonadotropin alfa|ovitrelle|ovitrelle|ovitrelle"
"167","sinakalseetti","cinacalcet","Cinacalcet Stada|Cinacalcet Orion|Mimpara|Cinacalcet Mylan|Cinacalcet Accordpharma|Sinafex|Cinacalcet Mylan|Cinacalcet Ratiopharm|Cinacalcet Accord|Sinafex|Cinacalcet Mylan|Cinacalcet Accordpharma|Cinacalcet Orion|Cinacalcet Stada|Mimpara|Cinacalcet Ratiopharm|Cinacalcet Accord|Sinafex|Cinacalcet Orion|Cinacalcet Mylan|Cinacalcet Accordpharma|Mimpara|Cinacalcet Accord|Cinacalcet Ratiopharm|Cinacalcet Stada",NA,"sinakalseetti|cinacalcet|cinacalcet stada|cinacalcet orion|mimpara|cinacalcet mylan|cinacalcet accordpharma|sinafex|cinacalcet mylan|cinacalcet ratiopharm|cinacalcet accord|sinafex|cinacalcet mylan|cinacalcet accordpharma|cinacalcet orion|cinacalcet stada|mimpara|cinacalcet ratiopharm|cinacalcet accord|sinafex|cinacalcet orion|cinacalcet mylan|cinacalcet accordpharma|mimpara|cinacalcet accord|cinacalcet ratiopharm|cinacalcet stada"
"168",NA,"Montelukast","Singulair","Anti-asthmatic","montelukast|singulair"
"169","daptomysiini","daptomycin","Cubicin|Daptomycin Norameda|Cubicin|Daptomycin Norameda","Antibiotic","daptomysiini|daptomycin|cubicin|daptomycin norameda|cubicin|daptomycin norameda"
"170","sisplatiini","cisplatin","Cisplatin Accord|Cisplatin Accord",NA,"sisplatiini|cisplatin|cisplatin accord|cisplatin accord"
"171",NA,"Metronidazol","Flagyl","Antibiotic","metronidazol|flagyl"
"172",NA,"Nitrofurantoin","Macrobid","Antibiotic","nitrofurantoin|macrobid"
"173","kladribiini","cladribin","Mavenclad|Mavenclad|Mavenclad|Mavenclad|Mavenclad|Mavenclad|Mavenclad|Mavenclad|Mavenclad|Mavenclad|Mavenclad|Mavenclad",NA,"kladribiini|cladribin|mavenclad|mavenclad|mavenclad|mavenclad|mavenclad|mavenclad|mavenclad|mavenclad|mavenclad|mavenclad|mavenclad|mavenclad"
"174","klopidogreeli","clopidogrel","Plavix|Clopidogrel Krka|Clopidogrel Krka|Clopidogrel Mylan|Clopidogrel Mylan|Clopidogrel Accord|Clopidogrel Taw Pharma|Clopidogrel Taw Pharma|Clopidogrel Accord|Clopidogrel Stada|Clopidogrel Orion|Clopidogrel Stada|Plavix|Clopidogrel Orion|Plavix","Anticoagulant","klopidogreeli|clopidogrel|plavix|clopidogrel krka|clopidogrel krka|clopidogrel mylan|clopidogrel mylan|clopidogrel accord|clopidogrel taw pharma|clopidogrel taw pharma|clopidogrel accord|clopidogrel stada|clopidogrel orion|clopidogrel stada|plavix|clopidogrel orion|plavix"
"175",NA,"Clopidogrel","Plavix|clodiprel","Anticoagulant","clopidogrel|plavix|clodiprel"
"176",NA,"Dabigatran","Pradaxa","Anticoagulant","dabigatran|pradaxa"
"177",NA,"Enoxaparin","Lovenox","Anticoagulant","enoxaparin|lovenox"
"178",NA,"Rivaroxaban","Xarelto","Anticoagulant","rivaroxaban|xarelto"
"179",NA,"Clobetasol","Clovate",NA,"clobetasol|clovate"
"180","klodronaatti","clodronate","Bonefos|Bonefos|Bonefos",NA,"klodronaatti|clodronate|bonefos|bonefos|bonefos"
"181","klofarabiini","clofarabin","Evoltra|Clofarabine Avansor",NA,"klofarabiini|clofarabin|evoltra|clofarabine avansor"
"182",NA,"Ticagrelor","Brilinta","Anticoagulant","ticagrelor|brilinta"
"183","klonidiini","clonidin","Catapresan|Catapresan|Catapresan|Catapresan",NA,"klonidiini|clonidin|catapresan|catapresan|catapresan|catapresan"
"184",NA,"Clonidin","Catapres",NA,"clonidin|catapres"
"185","tikagrelori","ticagrelori","Brilique|Brilique|Brilique|Brilique|Brilique","Anticoagulant","tikagrelori|ticagrelori|brilique|brilique|brilique|brilique|brilique"
"186","traneksaamihappo","tranexamic acid","Tranexamic Acid Accord|Tranexamic Acid Alternova|Tranexamic Acid Stragen|Tranexamic Acid Accord|Tranexamic Acid Accord|Caprilon","Anticoagulant","traneksaamihappo|tranexamic acid|tranexamic acid accord|tranexamic acid alternova|tranexamic acid stragen|tranexamic acid accord|tranexamic acid accord|caprilon"
"187",NA,"Warfarin","Coumadin|marevan","Anticoagulant","warfarin|coumadin|marevan"
"188",NA,"Divalproex","Depakote","Anticonvulsant","divalproex|depakote"
"189","klotsapiini","clozapin","Leponex|Leponex|Leponex|Froidir|Clozapine Accord|Clozapine Accord|Clozapine Accord|Froidir|Clozapine Accord|Froidir|Leponex|Leponex|Leponex|Leponex|Froidir|Clozapine Accord|Leponex|Froidir|Froidir|Clozapine Accord|Leponex|Froidir",NA,"klotsapiini|clozapin|leponex|leponex|leponex|froidir|clozapine accord|clozapine accord|clozapine accord|froidir|clozapine accord|froidir|leponex|leponex|leponex|leponex|froidir|clozapine accord|leponex|froidir|froidir|clozapine accord|leponex|froidir"
"190","hyytymistekijä VIII","coagulation factor VIII","Advate|Advate|Adynovi|Adynovi",NA,"hyytymistekijä viii|coagulation factor viii|advate|advate|adynovi|adynovi"
"191","kodeiini ja parasetamoli","codein","Paramax-Cod|Paramax-Cod|Paramax-Cod|Paramax-Cod|Paramax-Cod|Altermol|Altermol|Altermol|Panacod|Panacod|Panacod|Panacod|Panacod|Panacod|Panacod|Panacod|Panacod",NA,"kodeiini ja parasetamoli|codein|paramax-cod|paramax-cod|paramax-cod|paramax-cod|paramax-cod|altermol|altermol|altermol|panacod|panacod|panacod|panacod|panacod|panacod|panacod|panacod|panacod"
"192","gabapentiini","gabapentin","Neurontin|Gabrion|Neurontin|Gabapentin Accord|Gabapentin Actavis|Gabapentin Sandoz|Neurontin|Neurontin|Gabrion|Gabrion|Neurontin|Gabapentin Sandoz|Gabapentin Sandoz|Gabapentin Accord|Gabapentin Sandoz|Neurontin|Neurontin|Neurontin|Gabrion|Neurontin|Gabapentin Accord|Gabapentin Sandoz|Neurontin|Neurontin|Neurontin|Gabrion|Gabapentin Actavis|Neurontin|Gabapentin Accord|Neurontin|Gabapentin Sandoz","Anticonvulsant","gabapentiini|gabapentin|neurontin|gabrion|neurontin|gabapentin accord|gabapentin actavis|gabapentin sandoz|neurontin|neurontin|gabrion|gabrion|neurontin|gabapentin sandoz|gabapentin sandoz|gabapentin accord|gabapentin sandoz|neurontin|neurontin|neurontin|gabrion|neurontin|gabapentin accord|gabapentin sandoz|neurontin|neurontin|neurontin|gabrion|gabapentin actavis|neurontin|gabapentin accord|neurontin|gabapentin sandoz"
"193",NA,"Gabapentin","Neurontin","Anticonvulsant","gabapentin|neurontin"
"194",NA,"Phenytoin","Dilantin","Anticonvulsant","phenytoin|dilantin"
"195","yhdistelmävalmisteet","combination products","Emla|Emla|Tapin|Emla|Tapin|TachoSil|TachoSil|TachoSil|Tachosil|Tachosil|Tachosil|Tachosil|Tapin|Tapin|Emla|Emla|Pergoveris|Pergoveris|Pergoveris",NA,"yhdistelmävalmisteet|combination products|emla|emla|tapin|emla|tapin|tachosil|tachosil|tachosil|tachosil|tachosil|tachosil|tachosil|tapin|tapin|emla|emla|pergoveris|pergoveris|pergoveris"
"196","von Willebrand-tekijän ja hyytymistekijä VIII:n yhdistelmävalmisteet","combinations of von Willebrand factor and coagulation factor VIII","Haemate|Haemate|Haemate|Haemate|Haemate",NA,"von willebrand-tekijän ja hyytymistekijä viii:n yhdistelmävalmisteet|combinations of von willebrand factor and coagulation factor viii|haemate|haemate|haemate|haemate|haemate"
"197","B1-vitamiinin ja B6- ja/tai B12-vitamiinin yhdistelmävalmisteet","Combined preparations of vitamin B1 and vitamin B6 and / or vitamin B12","Neurobion Forte|Neurobion Forte|Neurobion Forte|Neurobion Forte",NA,"b1-vitamiinin ja b6- ja/tai b12-vitamiinin yhdistelmävalmisteet|combined preparations of vitamin b1 and vitamin b6 and / or vitamin b12|neurobion forte|neurobion forte|neurobion forte|neurobion forte"
"198","konestaatti alfa","conestat alfa","Ruconest|Ruconest|Ruconest",NA,"konestaatti alfa|conestat alfa|ruconest|ruconest|ruconest"
"199","tavanomaiset aluminium/kalsium/magnesiumyhdisteet","conventional Aluminum / calcium / magnesium compounds","Rennie Lakritsi|Rennie Lakritsi|Rennie Peppermint|Rennie Spearmint|Rennie Spearmint|Rennie Orange|Rennie Peppermint|Rennie Peppermint|Rennie Icemint|Rennie Icemint",NA,"tavanomaiset aluminium/kalsium/magnesiumyhdisteet|conventional aluminum / calcium / magnesium compounds|rennie lakritsi|rennie lakritsi|rennie peppermint|rennie spearmint|rennie spearmint|rennie orange|rennie peppermint|rennie peppermint|rennie icemint|rennie icemint"
"200","korifollitropiini alfa","corifollitropin alfa","Elonva|Elonva|Elonva",NA,"korifollitropiini alfa|corifollitropin alfa|elonva|elonva|elonva"
"201","kritsotinibi","critsotinib","Xalkori",NA,"kritsotinibi|critsotinib|xalkori"
"202","syanokobalamiini","cyanocobalamin","B12-Vitamiini Ratiopharm",NA,"syanokobalamiini|cyanocobalamin|b12-vitamiini ratiopharm"
"203","pregabaliini","pregabalin","Lyrica|Lyrica|Lyrica|Lyrica|Pregabalin Sandoz Gmbh|Pregabalin Krka|Pregabalin Pfizer|Lyrica|Pregabalin Krka|Pregabalin Krka|Pregabalin Ratiopharm|Pregabalin 1a Farma|Pregabalin Ratiopharm|Pregabalin Pfizer|Lyribastad|Pregabalin Mylan|Lyribastad|Pregabalin Accord|Pregabalin Accord|Pregabalin Mylan|Pregabalin Orion|Pregabalin Orion|Pregabalin 1a Farma|Pregabalin Pfizer|Pregabalin Orion|Pregabalin Ratiopharm|Lyrica|Pregabalin Sandoz|Lyribastad|Lyrica|Lyrica|Pregabalin Pfizer|Pregabalin Ratiopharm|Pregabalin Krka|Pregabalin Ratiopharm|Lyrica|Pregabalin Mylan|Pregabalin Orion|Pregabalin 1a Farma|Pregabalin Orion|Pregabalin Krka|Pregabalin Accord|Lyrica|Lyrica|Lyrica|Lyrica|Lyrica|Pregabalin 1a Farma|Pregabalin Orion|Lyribastad|Pregabalin Orion|Pregabalin Pfizer|Pregabalin Orion|Pregabalin Sandoz Gmbh|Pregabalin Ratiopharm|Pregabalin Sandoz|Pregabalin Accord|Pregabalin Mylan|Pregabalin Orion|Pregabalin Sandoz Gmbh|Pregabalin Pfizer|Pregabalin Krka|Pregabalin Krka|Pregabalin Sandoz Gmbh|Pregabalin Ratiopharm|Pregabalin Sandoz|Pregabalin Krka|Pregabalin Ratiopharm|Pregabalin Mylan|Pregabalin Ratiopharm|Pregabalin Pfizer|Pregabalin Orion|Pregabalin Accord|Lyribastad|Lyrica|Pregabalin 1a Farma|Pregabalin Mylan|Pregabalin Pfizer|Lyrica|Lyrica|Lyrica|Lyrica|Pregabalin Sandoz|Pregabalin Ratiopharm|Lyrica|Pregabalin Orion|Pregabalin Orion|Lyrica|Pregabalin Krka|Pregabalin Mylan|Pregabalin Mylan|Pregabalin Orion|Pregabalin Pfizer|Pregabalin Sandoz Gmbh|Pregabalin Sandoz Gmbh|Lyrica|Pregabalin Pfizer|Lyribastad|Pregabalin 1a Farma|Pregabalin Orion|Pregabalin Ratiopharm|Pregabalin Orion|Pregabalin 1a Farma|Pregabalin Ratiopharm|Pregabalin Krka|Pregabalin Krka|Pregabalin Accord|Pregabalin Sandoz|Pregabalin Accord|Pregabalin Ratiopharm|Lyribastad|Pregabalin Mylan|Lyrica|Pregabalin Mylan|Lyrica|Pregabalin Pfizer|Pregabalin Krka|Pregabalin Sandoz Gmbh|Pregabalin Orion|Pregabalin Ratiopharm|Pregabalin Orion|Pregabalin Accord|Pregabalin Ratiopharm|Lyribastad|Pregabalin 1a Farma|Pregabalin 1a Farma","Anticonvulsant","pregabaliini|pregabalin|lyrica|lyrica|lyrica|lyrica|pregabalin sandoz gmbh|pregabalin krka|pregabalin pfizer|lyrica|pregabalin krka|pregabalin krka|pregabalin ratiopharm|pregabalin 1a farma|pregabalin ratiopharm|pregabalin pfizer|lyribastad|pregabalin mylan|lyribastad|pregabalin accord|pregabalin accord|pregabalin mylan|pregabalin orion|pregabalin orion|pregabalin 1a farma|pregabalin pfizer|pregabalin orion|pregabalin ratiopharm|lyrica|pregabalin sandoz|lyribastad|lyrica|lyrica|pregabalin pfizer|pregabalin ratiopharm|pregabalin krka|pregabalin ratiopharm|lyrica|pregabalin mylan|pregabalin orion|pregabalin 1a farma|pregabalin orion|pregabalin krka|pregabalin accord|lyrica|lyrica|lyrica|lyrica|lyrica|pregabalin 1a farma|pregabalin orion|lyribastad|pregabalin orion|pregabalin pfizer|pregabalin orion|pregabalin sandoz gmbh|pregabalin ratiopharm|pregabalin sandoz|pregabalin accord|pregabalin mylan|pregabalin orion|pregabalin sandoz gmbh|pregabalin pfizer|pregabalin krka|pregabalin krka|pregabalin sandoz gmbh|pregabalin ratiopharm|pregabalin sandoz|pregabalin krka|pregabalin ratiopharm|pregabalin mylan|pregabalin ratiopharm|pregabalin pfizer|pregabalin orion|pregabalin accord|lyribastad|lyrica|pregabalin 1a farma|pregabalin mylan|pregabalin pfizer|lyrica|lyrica|lyrica|lyrica|pregabalin sandoz|pregabalin ratiopharm|lyrica|pregabalin orion|pregabalin orion|lyrica|pregabalin krka|pregabalin mylan|pregabalin mylan|pregabalin orion|pregabalin pfizer|pregabalin sandoz gmbh|pregabalin sandoz gmbh|lyrica|pregabalin pfizer|lyribastad|pregabalin 1a farma|pregabalin orion|pregabalin ratiopharm|pregabalin orion|pregabalin 1a farma|pregabalin ratiopharm|pregabalin krka|pregabalin krka|pregabalin accord|pregabalin sandoz|pregabalin accord|pregabalin ratiopharm|lyribastad|pregabalin mylan|lyrica|pregabalin mylan|lyrica|pregabalin pfizer|pregabalin krka|pregabalin sandoz gmbh|pregabalin orion|pregabalin ratiopharm|pregabalin orion|pregabalin accord|pregabalin ratiopharm|lyribastad|pregabalin 1a farma|pregabalin 1a farma"
"204","syklofosfamidi","cyclophosphamide","Sendoxan|Sendoxan|Sendoxan|Sendoxan",NA,"syklofosfamidi|cyclophosphamide|sendoxan|sendoxan|sendoxan|sendoxan"
"205","siklopiroksi","cyclopirox","Onytec|Onytec|Onytec",NA,"siklopiroksi|cyclopirox|onytec|onytec|onytec"
"206","siklosporiini","cyclosporin","Sandimmun Neoral|Sandimmun Neoral|Sandimmun Neoral|Ikervis|Ikervis",NA,"siklosporiini|cyclosporin|sandimmun neoral|sandimmun neoral|sandimmun neoral|ikervis|ikervis"
"207","syproteroni ja estrogeeni","cyproteron","Vreya|Diane Nova|Cypretyl|Cypretyl",NA,"syproteroni ja estrogeeni|cyproteron|vreya|diane nova|cypretyl|cypretyl"
"208","sytarabiini","cytarabin","Cytarabine Stada|Cytarabine Stada|Cytarabine Accord|Cytarabine Accord|Cytarabine Accord",NA,"sytarabiini|cytarabin|cytarabine stada|cytarabine stada|cytarabine accord|cytarabine accord|cytarabine accord"
"209",NA,"Pregabalin","Lyrica","Anticonvulsant","pregabalin|lyrica"
"210","dabrafenibi","dabrafenibi","Tafinlar|Tafinlar|Tafinlar|Tafinlar|Tafinlar|Tafinlar|Tafinlar",NA,"dabrafenibi|dabrafenibi|tafinlar|tafinlar|tafinlar|tafinlar|tafinlar|tafinlar|tafinlar"
"211","dakarbatsiini","dacarbazine","Dacarbazine Lipomed|Dacarbazine Medac|Dacarbazine Lipomed|Dacarbazine Lipomed",NA,"dakarbatsiini|dacarbazine|dacarbazine lipomed|dacarbazine medac|dacarbazine lipomed|dacarbazine lipomed"
"212","danaparoidi","danaparoidi","Orgaran|Orgaran",NA,"danaparoidi|danaparoidi|orgaran|orgaran"
"213","dapagliflotsiini","dapagliflocin","Forxiga|Forxiga|Forxiga|Forxiga",NA,"dapagliflotsiini|dapagliflocin|forxiga|forxiga|forxiga|forxiga"
"214","topiramaatti","topiramat","Topimax|Topiramat Ratiopharm|Topimax|Topiramat Orion|Topiramat Orion|Topimax|Topiramat Accord|Topimax|Topiramat Ratiopharm|Topiramat Accord|Topiramat Orion|Topiramat Orion|Topimax|Topimax|Topimax|Topiramat Ratiopharm|Topiramat Orion|Topiramat Orion|Topimax|Topiramat Accord|Topiramat Ratiopharm|Topiramat Orion|Topimax|Topiramat Accord","Anticonvulsant","topiramaatti|topiramat|topimax|topiramat ratiopharm|topimax|topiramat orion|topiramat orion|topimax|topiramat accord|topimax|topiramat ratiopharm|topiramat accord|topiramat orion|topiramat orion|topimax|topimax|topimax|topiramat ratiopharm|topiramat orion|topiramat orion|topimax|topiramat accord|topiramat ratiopharm|topiramat orion|topimax|topiramat accord"
"215","daratumumabi","daratumumab","Darzalex|Darzalex",NA,"daratumumabi|daratumumab|darzalex|darzalex"
"216","darbepoetiini alfa","darbepoetin alfa","Aranesp",NA,"darbepoetiini alfa|darbepoetin alfa|aranesp"
"217",NA,"Topiramat","Topamax","Anticonvulsant","topiramat|topamax"
"218",NA,"Memantin","Namenda",NA,"memantin|namenda"
"219","dasatinibi","dasatinib","Dasatinib Sandoz|Sprycel|Dasatinib Stada|Dasatinib Krka|Dasatinib Mylan|Sprycel|Sprycel|Sprycel|Dasatinib Stada|Sprycel|Sprycel|Dasatinib Mylan|Sprycel|Dasatinib Krka|Dasatinib Sandoz|Sprycel|Dasatinib Krka|Dasatinib Stada|Sprycel|Dasatinib Sandoz|Dasatinib Mylan|Sprycel",NA,"dasatinibi|dasatinib|dasatinib sandoz|sprycel|dasatinib stada|dasatinib krka|dasatinib mylan|sprycel|sprycel|sprycel|dasatinib stada|sprycel|sprycel|dasatinib mylan|sprycel|dasatinib krka|dasatinib sandoz|sprycel|dasatinib krka|dasatinib stada|sprycel|dasatinib sandoz|dasatinib mylan|sprycel"
"220","deferasiroksi","deferasirox","Exjade|Exjade|Exjade",NA,"deferasiroksi|deferasirox|exjade|exjade|exjade"
"221","deferiproni","deferiprone","Ferriprox",NA,"deferiproni|deferiprone|ferriprox"
"222","dekvaliini","dequaline","Donaxyl|Donaxyl|Donaxyl",NA,"dekvaliini|dequaline|donaxyl|donaxyl|donaxyl"
"223","desitabiini","Desitabine","Dacogen|Dacogen",NA,"desitabiini|desitabine|dacogen|dacogen"
"224","rivastigmiini","rivastigmine","Rivastigmin Orion|Nimvastid|Exelon|Rivastigmin Stada|Rivastigmin Stada|Rivastigmin Orion|Rivastigmin Orion|Nimvastid|Exelon|Exelon|Rivastigmin Stada|Nimvastid|Rivastigmine Sandoz|Rivastigmin Stada|Rivastigmin Stada|Rivastigmin Stada|Rivastigmin Orion|Rivastigmin Orion|Nimvastid|Nimvastid|Rivastigmin Stada|Rivastigmin Stada|Rivastigmin Orion|Rivastigmin Orion|Exelon|Rivastigmin Stada|Rivastigmin Stada|Nimvastid|Nimvastid|Rivastigmin Stada|Exelon|Rivastigmin Ratiopharm|Exelon|Exelon|Rivastor|Exelon|Rivastigmin Ratiopharm|Exelon|Rivastor|Exelon|Exelon|Exelon|Rivastor|Rivastor|Rivastigmin Ratiopharm|Rivastigmin Ratiopharm|Exelon|Rivastigmin Ratiopharm|Exelon|Exelon|Exelon|Rivastor|Rivastor|Rivastor|Exelon|Rivastigmin Ratiopharm",NA,"rivastigmiini|rivastigmine|rivastigmin orion|nimvastid|exelon|rivastigmin stada|rivastigmin stada|rivastigmin orion|rivastigmin orion|nimvastid|exelon|exelon|rivastigmin stada|nimvastid|rivastigmine sandoz|rivastigmin stada|rivastigmin stada|rivastigmin stada|rivastigmin orion|rivastigmin orion|nimvastid|nimvastid|rivastigmin stada|rivastigmin stada|rivastigmin orion|rivastigmin orion|exelon|rivastigmin stada|rivastigmin stada|nimvastid|nimvastid|rivastigmin stada|exelon|rivastigmin ratiopharm|exelon|exelon|rivastor|exelon|rivastigmin ratiopharm|exelon|rivastor|exelon|exelon|exelon|rivastor|rivastor|rivastigmin ratiopharm|rivastigmin ratiopharm|exelon|rivastigmin ratiopharm|exelon|exelon|exelon|rivastor|rivastor|rivastor|exelon|rivastigmin ratiopharm"
"225","desogestreeli","desogestrel","Cerazette|Cerazette|Cerazette|Cerazette|Cerazette|Cerazette|Desogestrel Ratiopharm|Desogestrel Ratiopharm",NA,"desogestreeli|desogestrel|cerazette|cerazette|cerazette|cerazette|cerazette|cerazette|desogestrel ratiopharm|desogestrel ratiopharm"
"226","desogestreeli ja etinyyliestradioli","desogestrel and ethinyl estradiol","Marvelon|Marvelon|Marvelon|Marvelon|Mercilon|Mercilon|Mercilon|Mercilon|Mercilon|Mercilon",NA,"desogestreeli ja etinyyliestradioli|desogestrel and ethinyl estradiol|marvelon|marvelon|marvelon|marvelon|mercilon|mercilon|mercilon|mercilon|mercilon|mercilon"
"227",NA,"Rivastigmin","Exelon",NA,"rivastigmin|exelon"
"228","deksametasoni","dexamethasone","Ozurdex|Ozurdex|Oradexon|Oradexon",NA,"deksametasoni|dexamethasone|ozurdex|ozurdex|oradexon|oradexon"
"229",NA,"Amitriptylin","Elavil|klotriptyl","Antidepressant","amitriptylin|elavil|klotriptyl"
"230",NA,"Bupropion","Wellbutrin","Antidepressant","bupropion|wellbutrin"
"231","sitalopraami","citalopram","Citalopram-Ratiopharm|Sepram|Sepram|Citalopram Orion|Citalopram Orion|Citalopram-Ratiopharm|Citalopram Orion|Citalopram-Ratiopharm|Citalopram-Ratiopharm|Sepram|Sepram|Citalopram Orion|Citalopram Orion|Citalopram Vitabalans|Citalopram-Ratiopharm|Citalopram Orion|Citalopram Vitabalans|Citalopram-Ratiopharm|Sepram|Sepram|Citalopram Orion|Citalopram Orion|Citalopram Vitabalans|Citalopram Orion|Sepram|Sepram|Sepram","Antidepressant","sitalopraami|citalopram|citalopram-ratiopharm|sepram|sepram|citalopram orion|citalopram orion|citalopram-ratiopharm|citalopram orion|citalopram-ratiopharm|citalopram-ratiopharm|sepram|sepram|citalopram orion|citalopram orion|citalopram vitabalans|citalopram-ratiopharm|citalopram orion|citalopram vitabalans|citalopram-ratiopharm|sepram|sepram|citalopram orion|citalopram orion|citalopram vitabalans|citalopram orion|sepram|sepram|sepram"
"232","dekspantenoli","dexpanthenol","Dexpanthenol Ratiopharm|Dexpanthenol Ratiopharm|Bepanthen|Bepanthen|Bepanthen|Bepanthen|Bepanthen|Bepanthen",NA,"dekspantenoli|dexpanthenol|dexpanthenol ratiopharm|dexpanthenol ratiopharm|bepanthen|bepanthen|bepanthen|bepanthen|bepanthen|bepanthen"
"233","diatritsoiinihappo","diatrizoic acid","Gastrografin|Gastrografin|Gastrografin",NA,"diatritsoiinihappo|diatrizoic acid|gastrografin|gastrografin|gastrografin"
"234",NA,"Citalopram","Celexa|sepram","Antidepressant","citalopram|celexa|sepram"
"235",NA,"Desvenlafaxin","Pristiq","Antidepressant","desvenlafaxin|pristiq"
"236","diklooribentsyylialkoholi","dichlorobenzyl alcohol","Strepsils Mint|Strepsils Mint|Strepsils Hunaja & Sitruuna|Strepsils Appelsiini|Strepsils Mansikka|Strepsils Menthol|Strepsils Mansikka|Strepsils Inkivääri|Strepsils Hunaja & Sitruuna|Strepsils Sitrus",NA,"diklooribentsyylialkoholi|dichlorobenzyl alcohol|strepsils mint|strepsils mint|strepsils hunaja & sitruuna|strepsils appelsiini|strepsils mansikka|strepsils menthol|strepsils mansikka|strepsils inkivääri|strepsils hunaja & sitruuna|strepsils sitrus"
"237",NA,"Duloxetin","Cymbalta","Antidepressant","duloxetin|cymbalta"
"238","essitalopraami","escitalopram","Cipralex|Escitalopram Orion|Escitalopram SanoSwiss|Escitalopram SanoSwiss|Escitalopram Actavis|Escitalopram Actavis|Escitalopram Actavis|Escitalopram SanoSwiss|Escitalopram Krka|Escitalopram Orion|Escitalopram Orion|Escitalopram Orion|Escitalopram Sandoz|Escitalopram Sandoz|Cipralex|Cipralex|Escitalopram SanoSwiss|Escitalopram SanoSwiss|Escitalopram Actavis|Escitalopram Actavis|Escitalopram Actavis|Escitalopram Orion|Escitalopram Accord|Escitalopram Krka|Escitalopram SanoSwiss|Escitalopram Orion|Escitalopram Orion|Escitalopram Krka|Escitalopram Sandoz|Escitalopram Accord|Escitalopram Orion|Escitalopram Krka|Escitalopram Orion|Escitalopram Sandoz|Escitalopram Sandoz|Cipralex|Cipralex|Escitalopram Krka|Escitalopram Actavis|Escitalopram Actavis|Escitalopram Actavis|Escitalopram Krka|Escitalopram Orion|Escitalopram Orion|Escitalopram Sandoz|Escitalopram Orion|Escitalopram Orion|Cipralex|Cipralex|Escitalopram SanoSwiss|Escitalopram Actavis|Escitalopram Actavis|Escitalopram Actavis|Escitalopram Accord|Escitalopram Orion|Escitalopram Krka|Escitalopram Sandoz|Escitalopram Accord|Escitalopram Krka|Escitalopram Orion|Escitalopram Krka|Escitalopram Orion|Escitalopram Sandoz|Escitalopram Orion|Cipralex|Cipralex","Antidepressant","essitalopraami|escitalopram|cipralex|escitalopram orion|escitalopram sanoswiss|escitalopram sanoswiss|escitalopram actavis|escitalopram actavis|escitalopram actavis|escitalopram sanoswiss|escitalopram krka|escitalopram orion|escitalopram orion|escitalopram orion|escitalopram sandoz|escitalopram sandoz|cipralex|cipralex|escitalopram sanoswiss|escitalopram sanoswiss|escitalopram actavis|escitalopram actavis|escitalopram actavis|escitalopram orion|escitalopram accord|escitalopram krka|escitalopram sanoswiss|escitalopram orion|escitalopram orion|escitalopram krka|escitalopram sandoz|escitalopram accord|escitalopram orion|escitalopram krka|escitalopram orion|escitalopram sandoz|escitalopram sandoz|cipralex|cipralex|escitalopram krka|escitalopram actavis|escitalopram actavis|escitalopram actavis|escitalopram krka|escitalopram orion|escitalopram orion|escitalopram sandoz|escitalopram orion|escitalopram orion|cipralex|cipralex|escitalopram sanoswiss|escitalopram actavis|escitalopram actavis|escitalopram actavis|escitalopram accord|escitalopram orion|escitalopram krka|escitalopram sandoz|escitalopram accord|escitalopram krka|escitalopram orion|escitalopram krka|escitalopram orion|escitalopram sandoz|escitalopram orion|cipralex|cipralex"
"239",NA,"Dicyclomine","Bentyl",NA,"dicyclomine|bentyl"
"240","dienogesti","dienogesti","Visanne|Visanne|Endovelle",NA,"dienogesti|dienogesti|visanne|visanne|endovelle"
"241",NA,"Escitalopram","Lexapro","Antidepressant","escitalopram|lexapro"
"242","fluoksetiini","fluoxetin","Fluoxone|Fluoxetin Mylan|Fluoxetine Vitabalans|Seromex|Fluoxetine Vitabalans|Seronil|Seronil|Seronil|Seronil","Antidepressant","fluoksetiini|fluoxetin|fluoxone|fluoxetin mylan|fluoxetine vitabalans|seromex|fluoxetine vitabalans|seronil|seronil|seronil|seronil"
"243","dimetyylifumaraatti","dimethyl fumarate","Tecfidera|Tecfidera|Tecfidera|Tecfidera|Tecfidera|Tecfidera|Tecfidera|Tecfidera",NA,"dimetyylifumaraatti|dimethyl fumarate|tecfidera|tecfidera|tecfidera|tecfidera|tecfidera|tecfidera|tecfidera|tecfidera"
"244",NA,"Fluoxetine","Prozac","Antidepressant","fluoxetine|prozac"
"245","dosetakseli","docetaxel","Docetaxel Accord|Docetaxel Accord|Docetaxel Actavis|Docetaxel Accord",NA,"dosetakseli|docetaxel|docetaxel accord|docetaxel accord|docetaxel actavis|docetaxel accord"
"246",NA,"Mirtazepin","Remeron","Antidepressant","mirtazepin|remeron"
